,fund_id,fund_num,fund_name,fund_onevalue,fund_time,fund_1year,fund_2year,fund_3year,fund_5year,fund_star,fund_fee
49,50,000311,景顺长城沪深300增强,2.2700,07-25,18.07%,27.95%,38.53%,--,0,0.12%
50,51,001044,嘉实新消费股票,1.2040,07-25,18.06%,26.08%,--,--,0,0.15%
51,52,002214,中海沪港深价值优选混合,1.3700,07-25,18.04%,--,--,--,0,0.15%
52,53,519672,银河蓝筹混合,2.1320,07-25,18.04%,22.47%,30.64%,70.31%,4,0.15%
53,54,001583,安信新常态股票,1.2100,07-25,17.95%,--,--,--,0,0.15%
54,55,260108,景顺长城新兴成长混合,1.1630,07-25,17.94%,24.22%,30.10%,46.99%,1,0.15%
55,56,001837,前海开源沪港深蓝筹精选混合,1.3900,07-25,17.90%,--,--,--,0,0.15%
56,57,370027,上投摩根智选30混合,1.9070,07-25,17.86%,23.39%,30.67%,--,5,0.15%
57,58,161217,国投瑞银中证指数,0.7580,07-25,17.84%,23.69%,20.32%,21.14%,0,0.12%
58,59,519602,海富通大中华混合(QDII),1.0780,07-24,17.82%,27.95%,23.13%,25.48%,0,0.15%
59,60,377016,上投摩根亚太优势混合,0.7600,07-24,17.66%,27.90%,27.04%,30.43%,0,0.18%
60,61,163808,中银中证100,1.2360,07-25,17.55%,24.45%,28.98%,49.50%,0,0.15%
61,62,540006,汇丰晋信大盘股票A,3.0853,07-25,17.51%,31.42%,57.16%,113.93%,5,0.15%
62,63,519601,海富通中国海外混合,1.6860,07-24,17.43%,24.39%,18.36%,22.33%,0,0.15%
63,64,260116,景顺长城核心竞争力混合A,2.7090,07-25,17.40%,22.10%,29.07%,64.61%,3,0.15%
64,65,240016,华宝上证180联接,1.6840,07-25,17.36%,22.61%,28.89%,57.27%,0,0.15%
65,66,270023,广发全球精选股票(QDII),1.6110,07-24,17.35%,26.17%,27.93%,50.86%,0,0.16%
66,67,000083,汇添富消费行业混合,2.7920,07-25,17.33%,22.25%,35.15%,--,5,0.15%
67,68,110030,易方达沪深300量化增强,2.2118,07-25,17.29%,24.60%,31.62%,63.11%,0,0.15%
68,69,000877,华泰柏瑞量化优选混合,1.6628,07-25,17.23%,28.56%,--,--,0,0.15%
69,70,540009,汇丰晋信消费红利,1.0820,07-25,17.23%,24.96%,23.01%,29.26%,2,0.15%
70,71,240014,华宝中证100,1.2314,07-25,17.15%,22.69%,26.38%,47.46%,0,0.12%
71,72,163407,兴全沪深300指数(LOF),1.6702,07-25,17.06%,25.54%,33.69%,65.04%,0,0.12%
72,73,110003,易方达上证50指数A,1.2560,07-25,16.99%,24.09%,31.57%,58.12%,0,0.15%
73,74,378006,上投摩根全球新兴市场混合,1.0040,07-24,16.98%,23.10%,15.65%,13.41%,0,0.16%
74,75,240022,华宝资源优选混合,1.4860,07-25,16.95%,28.87%,36.00%,--,3,0.15%
75,76,370024,上投摩根核心优选混合,2.6750,07-25,16.87%,13.84%,20.41%,--,4,0.15%
76,77,000835,华润元大富时中国A50指数,1.5490,07-25,16.86%,21.67%,--,--,0,0.12%
77,78,457001,国富亚洲机会股票,1.0190,07-24,16.85%,25.10%,14.75%,9.01%,0,0.15%
78,79,001626,国泰央企改革股票,1.1990,07-25,16.65%,--,--,--,0,0.15%
79,80,000628,大成高新技术产业股票,1.4520,07-25,16.59%,30.11%,--,--,0,0.15%
80,81,100061,富国中国中小盘混合,2.0650,07-24,16.49%,23.11%,22.15%,--,0,0.15%
81,82,486001,工银全球配置,1.3190,07-24,16.49%,26.29%,30.97%,46.97%,0,0.16%
82,83,001986,前海开源人工智能主题混合,1.2460,07-25,16.33%,--,--,--,0,0.15%
83,84,570001,诺德价值优势混合,1.6160,07-25,16.30%,21.43%,30.46%,58.77%,3,0.15%
84,85,206007,鹏华消费优选混合,1.9530,07-25,16.21%,20.26%,29.17%,62.55%,4,0.15%
85,86,260110,景顺长城精选蓝筹混合,1.2270,07-25,16.16%,19.63%,21.96%,51.50%,2,0.15%
86,87,110011,易方达中小盘混合,3.2762,07-25,16.14%,31.03%,45.41%,81.93%,5,0.15%
87,88,000577,安信价值精选股票,2.5600,07-25,16.12%,31.45%,51.20%,--,0,0.15%
88,89,160222,国泰国证食品饮料行业指数分级,1.0319,07-25,16.02%,28.87%,--,--,0,0.00%
89,90,377530,上投摩根行业轮动混合A,2.0530,07-25,16.00%,13.37%,17.31%,49.70%,2,0.15%
90,91,213010,宝盈中证100增强,1.2870,07-25,15.99%,21.13%,24.99%,47.87%,0,0.12%
91,92,519709,交银全球资源混合(QDII),1.4750,07-24,15.96%,23.93%,22.61%,26.89%,0,0.15%
92,93,118001,易方达亚洲精选,0.9050,07-24,15.95%,22.22%,17.51%,15.18%,0,0.16%
93,94,001048,富国新兴产业股票,1.2830,07-25,15.88%,15.60%,--,--,0,0.15%
94,95,000892,九泰天宝灵活配置混合A,1.3240,07-25,15.85%,21.40%,--,--,0,0.15%
95,96,000020,景顺长城品质投资混合,1.9990,07-25,15.84%,19.45%,30.70%,--,3,0.15%
96,97,160632,鹏华酒分级,1.0900,07-25,15.83%,29.35%,--,--,0,0.12%
97,98,310388,申万菱信消费增长混合,1.2470,07-25,15.80%,14.16%,14.76%,39.44%,2,0.15%
98,99,502020,国金上证50分级,1.3700,07-25,15.72%,20.21%,--,--,0,0.10%
99,100,690008,民生中证资源指数,0.8090,07-25,15.67%,19.47%,15.93%,16.56%,0,0.12%
100,101,001074,华泰柏瑞量化驱动混合,1.0732,07-25,15.64%,25.18%,--,--,0,0.15%
101,102,001875,前海开源沪港深优势精选混合,1.3690,07-25,15.63%,--,--,--,0,0.15%
102,103,100056,富国低碳环保混合,2.6450,07-25,15.60%,14.74%,33.72%,86.21%,4,0.15%
103,104,070023,嘉实深证120联接,1.6434,07-25,15.60%,22.04%,30.52%,60.61%,0,0.12%
104,105,160517,博时中证银行指数分级,1.0093,07-25,15.60%,20.91%,--,--,0,0.10%
105,106,000974,安信消费医药股票,1.3630,07-25,15.56%,28.90%,--,--,0,0.15%
106,107,410008,华富中证100,1.1949,07-25,15.55%,19.95%,23.86%,45.11%,0,0.12%
107,108,050015,博时大中华亚太精选股票,1.2500,07-24,15.55%,23.28%,16.32%,19.93%,0,0.16%
108,109,519100,长盛中证100,1.1400,07-25,15.54%,20.63%,24.92%,46.92%,0,0.15%
109,110,164508,国富中证100指数增强分级,0.9300,07-25,15.48%,19.51%,--,--,0,0.12%
110,111,310358,申万菱信新经济混合,1.0110,07-25,15.46%,19.07%,18.36%,37.84%,2,0.15%
111,112,000248,汇添富中证主要消费ETF联接,1.2116,07-25,15.40%,24.38%,--,--,0,0.10%
112,113,000172,华泰柏瑞量化增强混合A,1.6520,07-25,15.33%,24.01%,35.67%,--,0,0.12%
113,114,200008,长城品牌优选混合,1.3182,07-25,15.30%,19.95%,26.77%,52.82%,5,0.15%
114,115,162213,泰达宏利财富大盘指数A,1.3916,07-25,15.27%,22.68%,34.42%,71.71%,0,0.12%
115,116,502040,长盛上证50指数分级,1.0820,07-25,15.24%,--,--,--,0,0.12%
116,117,000251,工银金融地产混合,2.2970,07-25,15.18%,21.15%,32.38%,--,5,0.15%
117,118,002443,前海开源沪港深龙头精选混合,1.1320,07-25,15.16%,--,--,--,0,0.15%
118,119,262001,景顺长城大中华混合,1.5240,07-24,15.15%,24.90%,20.98%,24.44%,0,0.16%
119,120,377010,上投摩根阿尔法混合,3.8287,07-25,15.14%,19.59%,27.66%,48.71%,2,0.15%
120,121,001548,天弘上证50指数A,1.0166,07-25,15.06%,19.48%,--,--,0,0.10%
121,122,502048,易方达上证50指数分级,1.3072,07-25,15.04%,19.64%,--,--,0,0.12%
122,123,000854,鹏华养老产业,1.4480,07-25,15.00%,15.38%,--,--,0,0.15%
123,124,166006,中欧行业成长混合(LOF)A,1.1939,07-25,14.94%,19.00%,26.67%,44.45%,2,0.15%
124,125,001549,天弘上证50指数C,1.0106,07-25,14.92%,19.15%,--,--,0,0.00%
125,126,001975,景顺长城环保优势股票,1.4050,07-25,14.85%,--,--,--,0,0.15%
126,127,001237,博时上证50ETF联接,0.9052,07-25,14.83%,19.15%,--,--,0,0.12%
127,128,161723,招商中证银行指数分级,1.0200,07-25,14.81%,21.06%,--,--,0,0.10%
128,129,375010,上投中国优势,1.2258,07-25,14.75%,13.53%,17.85%,33.10%,4,0.15%
129,130,000328,上投摩根转型动力,1.6880,07-25,14.72%,12.48%,24.35%,--,4,0.15%
130,131,001051,华夏上证50ETF联接,0.8860,07-25,14.67%,18.94%,--,--,0,0.12%
131,132,161229,国投瑞银中国价值发现股票,1.3830,07-24,14.66%,--,--,--,0,0.15%
132,133,161121,易方达银行分级,0.9496,07-25,14.66%,20.78%,--,--,0,0.10%
133,134,090010,大成中证红利指数,1.6940,07-25,14.60%,21.66%,30.30%,63.75%,0,0.12%
134,135,550003,信诚盛世蓝筹混合,2.3580,07-25,14.58%,20.98%,31.60%,61.28%,3,0.15%
135,136,530010,建信责任联接,1.7067,07-25,14.52%,19.11%,23.52%,48.31%,0,0.15%
136,137,340008,兴全有机增长混合,2.3069,07-25,14.48%,22.26%,39.65%,92.24%,5,0.15%
137,138,001764,广发沪港深新机遇股票,1.2050,07-25,14.48%,--,--,--,0,0.15%
138,139,310318,申万菱信沪深300指数增强,2.2616,07-25,14.47%,21.40%,32.76%,70.54%,1,0.12%
139,140,100038,富国量化沪深300,1.6870,07-25,14.42%,19.83%,29.26%,60.95%,0,0.12%
140,141,160213,国泰纳斯达克100指数,2.7250,07-24,14.40%,27.62%,36.42%,65.71%,0,0.15%
141,142,001179,德邦大健康灵活配置混合,0.9900,07-25,14.30%,19.94%,--,--,0,0.15%
142,143,001104,华安新丝路主题股票,1.0460,07-25,14.28%,21.38%,--,--,0,0.15%
143,144,110015,易方达行业领先混合,2.0420,07-25,14.24%,15.91%,23.42%,50.01%,2,0.15%
144,145,000073,上投成长动力,1.2620,07-25,14.17%,7.84%,8.62%,--,4,0.15%
145,146,519674,银河创新成长混合,2.5118,07-25,14.16%,14.84%,23.41%,62.33%,3,0.15%
146,147,110025,易方达资源行业混合,1.1000,07-25,14.15%,23.98%,26.94%,36.18%,2,0.15%
147,148,001586,天弘中证100指数A,1.0055,07-25,14.15%,18.20%,--,--,0,0.10%
148,149,020001,国泰金鹰增长灵活配置,1.1726,07-25,14.11%,24.54%,35.84%,76.30%,3,0.15%
149,150,162307,海富通中证100,1.1860,07-25,14.06%,17.99%,21.75%,43.01%,0,0.12%
150,151,020021,国泰上证180金融联接,1.6568,07-25,14.05%,18.94%,22.97%,48.51%,0,0.12%
151,152,001594,天弘中证银行指数A,1.1037,07-25,14.01%,18.33%,--,--,0,0.10%
152,153,001587,天弘中证100指数C,0.9999,07-25,13.99%,17.87%,--,--,0,0.00%
153,154,399001,中海上证50,1.1310,07-25,13.99%,17.46%,21.12%,41.30%,0,0.12%
154,155,162509,国联安双禧中证100,1.2310,07-25,13.98%,18.02%,20.68%,38.49%,0,0.12%
155,156,340007,兴全社会责任混合,3.1830,07-25,13.96%,20.18%,32.64%,71.50%,4,0.15%
156,157,000167,广发聚优灵活配置混合A,1.4370,07-25,13.96%,10.21%,8.98%,--,3,0.15%
157,158,501021,华宝兴业香港中国中小盘,1.2709,07-25,13.95%,--,--,--,0,0.10%
158,159,050013,博时上证超大盘联接,0.9887,07-25,13.93%,19.83%,22.41%,37.52%,0,0.12%
159,160,202021,南方小康ETF联接A,1.3238,07-25,13.92%,18.90%,23.60%,49.97%,0,0.12%
160,161,620006,金元顺安消费主题混合,1.0350,07-25,13.91%,11.86%,5.28%,11.65%,1,0.15%
161,162,040018,华安香港精选,1.3340,07-24,13.89%,20.97%,17.74%,27.84%,0,0.16%
162,163,160215,国泰价值经典混合(LOF),1.4710,07-25,13.88%,26.36%,42.40%,91.52%,4,0.15%
163,164,001595,天弘中证银行指数C,1.0974,07-25,13.86%,18.01%,--,--,0,0.00%
164,165,460010,华泰柏瑞亚洲领导企业混合,0.9290,07-24,13.81%,19.73%,14.39%,13.87%,0,0.16%
165,166,161819,银华资源指数分级,1.2220,07-25,13.80%,16.35%,12.06%,11.54%,0,0.12%
166,167,000176,嘉实沪深300指数研究增强,1.2411,07-25,13.74%,18.32%,--,--,0,0.10%
167,168,162203,泰达宏利稳定混合,1.0238,07-25,13.66%,10.66%,9.58%,25.52%,0,0.15%
168,169,539002,建信新兴市场混合(QDII),0.9170,07-25,13.64%,22.24%,14.78%,9.14%,0,0.16%
169,170,161724,招商中证煤炭等权指数分级,1.2500,07-25,13.51%,21.32%,--,--,0,0.10%
170,171,002379,工银香港中小盘人民币,1.2980,07-24,13.50%,--,--,--,0,0.15%
171,172,002160,南方驱动混合,1.2620,07-25,13.49%,--,--,--,0,0.15%
172,173,100032,富国中证红利指数增强,1.2600,07-25,13.48%,21.38%,32.94%,69.64%,0,0.15%
173,174,180003,银华道琼斯88,1.1190,07-25,13.48%,18.56%,19.62%,32.49%,0,0.15%
174,175,040046,华安纳斯达克100指数,1.8190,07-24,13.43%,24.36%,30.53%,--,0,0.12%
175,176,000071,华夏恒生ETF联接,1.4252,07-25,13.42%,24.98%,25.40%,--,0,0.12%
176,177,519686,交银180治理联接,1.2570,07-25,13.37%,16.70%,19.62%,42.90%,0,0.15%
177,178,160620,鹏华资源分级,1.3090,07-25,13.36%,19.35%,16.79%,--,0,0.12%
178,179,001092,广发生物科技指数(QDII),1.0050,07-24,13.36%,13.53%,--,--,0,0.13%
179,180,001543,宝盈新锐混合,1.1860,07-25,13.33%,--,--,--,0,0.15%
180,181,450002,国富弹性市值混合,1.1160,07-25,13.33%,23.46%,34.70%,58.42%,3,0.15%
181,182,000948,华夏沪港通恒生ETF联接,1.1738,07-25,13.30%,23.29%,--,--,0,0.12%
182,183,519181,万家和谐增长,1.0677,07-25,13.27%,18.15%,30.68%,59.46%,3,0.15%
183,184,519116,浦银沪深300增强,1.3740,07-25,13.23%,19.02%,25.09%,48.14%,0,0.12%
184,185,161029,富国中证银行指数分级,1.0500,07-25,13.19%,18.72%,--,--,0,0.12%
185,186,080006,长盛环球行业混合(QDII),1.2800,07-24,13.16%,18.94%,16.60%,24.10%,0,0.15%
186,187,001927,华夏消费升级灵活配置混合A,1.3470,07-25,13.10%,--,--,--,0,0.15%
187,188,160631,鹏华银行分级,0.9740,07-25,13.06%,17.78%,--,--,0,0.12%
188,189,377020,上投摩根内需动力混合,1.0820,07-25,13.01%,8.56%,6.80%,15.36%,1,0.15%
189,190,160910,大成创新成长混合,1.0770,07-25,13.00%,12.16%,13.95%,29.09%,3,0.15%
190,191,260103,景顺长城动力平衡,1.0261,07-25,12.94%,21.88%,25.86%,40.51%,3,0.15%
191,192,001162,前海开源优势蓝筹股票A,1.0390,07-25,12.93%,12.06%,--,--,0,0.15%
192,193,260112,景顺长城能源基建混合,1.5440,07-25,12.86%,18.67%,37.51%,74.01%,5,0.15%
193,194,000458,英大领先回报发起式,0.8835,07-25,12.84%,19.75%,20.12%,--,0,0.12%
194,195,001928,华夏消费升级灵活配置混合C,1.3370,07-25,12.77%,--,--,--,0,0.00%
195,196,539001,建信全球机遇混合(QDII),1.3260,07-25,12.74%,21.26%,20.61%,28.44%,0,0.16%
196,197,000011,华夏大盘精选,11.9670,07-25,12.72%,16.56%,20.92%,34.91%,3,0.15%
197,198,519665,银河美丽混合C,1.8090,07-25,12.71%,12.35%,20.70%,--,0,0.00%
198,199,001102,前海开源国家比较优势混合,1.2740,07-25,12.68%,21.38%,--,--,0,0.15%
199,200,118002,易方达标普消费品指数,1.6350,07-24,12.68%,18.56%,18.31%,25.30%,0,0.12%
200,201,001638,前海开源优势蓝筹股票C,1.1420,07-25,12.68%,15.54%,--,--,0,0.15%
201,202,161715,招商大宗商品(LOF),1.1340,07-25,12.67%,20.12%,23.32%,37.20%,0,0.12%
202,203,164705,汇添富恒生指数分级,1.1620,07-25,12.66%,22.37%,19.45%,--,0,0.12%
203,204,001244,华泰柏瑞量化智慧混合,1.1881,07-25,12.63%,23.58%,--,--,0,0.15%
204,205,050002,博时沪深300指数A,1.3523,07-25,12.62%,19.14%,28.45%,61.37%,0,0.15%
205,206,020009,国泰金鹏蓝筹,1.0170,07-25,12.61%,16.82%,24.88%,56.29%,5,0.15%
206,207,161207,国投瑞银沪深300,1.1810,07-25,12.49%,18.05%,22.19%,44.09%,0,0.12%
207,208,001616,嘉实环保低碳股票,1.3560,07-25,12.48%,--,--,--,0,0.15%
208,209,001469,广发中证全指金融地产联接A,1.0112,07-25,12.47%,16.05%,--,--,0,0.12%
209,210,000849,汇丰晋信双核策略A,1.3020,07-25,12.47%,25.14%,--,--,0,0.15%
210,211,519710,交银策略回报灵活配置混合,1.1930,07-25,12.47%,24.74%,26.42%,39.29%,0,0.15%
211,212,000527,南方新优享,2.2360,07-25,12.46%,25.03%,43.50%,--,0,0.15%
212,213,257060,国联安商品ETF联接,0.6287,07-25,12.46%,13.48%,11.29%,13.93%,0,0.15%
213,214,202005,南方成份精选混合,1.1319,07-25,12.46%,21.59%,36.35%,77.50%,5,0.15%
214,215,165310,建信双利分级,1.5000,07-25,12.45%,17.87%,22.87%,44.01%,3,0.15%
215,216,161607,融通巨潮100指数A(LOF),1.1750,07-25,12.45%,16.62%,18.52%,36.50%,0,0.15%
216,217,270050,广发新经济混合,1.9910,07-25,12.45%,14.42%,14.49%,--,1,0.15%
217,218,000431,鹏华品牌传承混合,1.2250,07-25,12.39%,13.32%,16.85%,--,0,0.15%
218,219,020005,国泰金马稳健,0.9920,07-25,12.34%,19.75%,22.05%,31.09%,4,0.15%
219,220,519668,银河成长混合,1.3912,07-25,12.34%,15.42%,26.55%,70.53%,3,0.15%
220,221,002979,广发中证全指金融地产联接C,1.0109,07-25,12.31%,--,--,--,0,0.00%
221,222,165515,信诚沪深300分级,1.3190,07-25,12.30%,16.13%,17.30%,33.53%,0,0.12%
222,223,000834,大成纳斯达克100指数,1.4510,07-24,12.29%,22.20%,--,--,0,0.12%
223,224,000979,景顺长城沪港深精选股票,1.0320,07-25,12.29%,20.38%,--,--,0,0.15%
224,225,000850,汇丰晋信双核策略C,1.3038,07-25,12.26%,25.21%,--,--,0,0.00%
225,226,020023,国泰事件驱动策略混合,2.3910,07-25,12.23%,19.90%,24.84%,51.83%,3,0.15%
226,227,260111,景顺长城公司治理混合,1.2200,07-25,12.23%,13.45%,14.18%,30.85%,2,0.15%
227,228,260101,景顺长城优选混合,2.5476,07-25,12.22%,19.38%,30.42%,65.42%,3,0.15%
228,229,050024,博时上证自然资源联接,0.7569,07-25,12.20%,13.39%,8.45%,8.99%,0,0.12%
229,230,730002,方正富邦红利精选混合,1.1550,07-25,12.12%,15.11%,17.35%,--,5,0.15%
230,231,519736,交银新成长混合,2.1120,07-25,12.09%,22.91%,38.54%,--,0,0.15%
231,232,050021,博时深证200联接,1.3813,07-25,12.04%,16.41%,24.92%,54.73%,0,0.12%
232,233,002315,创金合信沪深300指数增强C,1.1044,07-25,12.03%,--,--,--,0,0.00%
233,234,165521,信诚中证800金融指数分级,1.0350,07-25,12.02%,15.97%,17.99%,--,0,0.12%
234,235,161211,国投沪深300金融地产联接,1.4766,07-25,12.02%,17.48%,22.12%,48.60%,0,0.12%
235,236,519706,交银深证300联接,1.5820,07-25,12.01%,16.66%,20.26%,42.55%,0,0.15%
236,237,090013,大成竞争优势混合,1.1650,07-25,11.98%,21.14%,35.02%,70.39%,0,0.15%
237,238,001222,鹏华外延成长混合,0.9010,07-25,11.98%,13.45%,--,--,0,0.15%
238,239,200002,长城久泰沪深300指数,1.5786,07-25,11.96%,15.92%,18.99%,39.23%,0,0.15%
239,240,001008,工银国企改革股票,1.0230,07-25,11.95%,13.65%,--,--,0,0.15%
240,241,001606,农银工业4.0混合,1.1957,07-25,11.92%,--,--,--,0,0.15%
241,242,160125,南方香港优选股票(QDII),0.9489,07-24,11.90%,12.82%,3.74%,0.37%,0,0.13%
242,243,373010,上投摩根双息平衡混合A,0.9533,07-25,11.86%,11.50%,16.52%,44.25%,3,0.15%
243,244,570008,诺德周期策略混合,1.6620,07-25,11.83%,18.17%,32.62%,80.87%,4,0.15%
244,245,160615,鹏华沪深300,1.4940,07-25,11.81%,16.41%,19.98%,43.05%,0,0.12%
245,246,160212,国泰估值优势混合(LOF),2.6440,07-25,11.81%,29.21%,60.30%,122.22%,4,0.15%
246,247,460009,华泰柏瑞量化先行混合,1.9210,07-25,11.80%,22.65%,39.23%,73.11%,4,0.15%
247,248,000824,圆信永丰双红利A,1.1950,07-25,11.79%,22.77%,--,--,0,0.15%
248,249,002310,创金合信沪深300指数增强A,1.0979,07-25,11.72%,--,--,--,0,0.15%
249,250,002387,工银沪港深股票,1.1160,07-25,11.71%,--,--,--,0,0.15%
250,251,000950,易方达沪深300非银ETF联接,0.8667,07-25,11.64%,15.17%,--,--,0,0.10%
251,252,001018,易方达新经济混合,1.4430,07-25,11.63%,18.24%,--,--,0,0.15%
252,253,162703,广发小盘成长混合(LOF),1.3016,07-25,11.62%,12.11%,13.45%,27.85%,2,0.15%
253,254,690005,民生加银内需增长混合,1.5880,07-25,11.62%,15.17%,23.05%,52.94%,4,0.15%
254,255,161032,富国中证煤炭指数分级,1.2570,07-25,11.62%,17.03%,--,--,0,0.00%
255,256,519656,银河灵活配置混合A,1.9830,07-25,11.49%,12.95%,20.06%,--,0,0.15%
256,257,240019,华宝上证180成长联接,1.5680,07-25,11.48%,15.72%,18.82%,37.28%,0,0.15%
257,258,519979,长信内需成长混合,1.6070,07-25,11.43%,11.60%,18.12%,53.47%,2,0.15%
258,259,002191,农银物联网混合,1.1134,07-25,11.40%,--,--,--,0,0.15%
259,260,040011,华安核心优选混合,2.0596,07-25,11.39%,20.60%,33.15%,70.56%,5,0.15%
260,261,167601,国金沪深300指数分级,0.9674,07-25,11.38%,14.31%,14.92%,--,0,0.12%
261,262,160211,国泰中小盘成长混合(LOF),3.2130,07-25,11.38%,27.15%,51.61%,117.97%,5,0.15%
262,263,166005,中欧价值发现混合A,1.8264,07-25,11.35%,22.18%,35.25%,79.42%,4,0.15%
263,264,001420,南方大数据300A,1.1178,07-25,11.34%,19.10%,--,--,0,0.12%
264,265,360007,光大保德信优势配置混合,1.1320,07-25,11.32%,15.13%,27.06%,64.62%,3,0.15%
265,266,001392,国富金融地产混合A,1.1684,07-25,11.30%,14.24%,--,--,0,0.15%
266,267,020015,国泰区位优势混合,2.4970,07-25,11.30%,17.29%,28.45%,63.81%,3,0.15%
267,268,002001,华夏回报混合A,1.3280,07-25,11.30%,15.81%,21.13%,39.08%,5,0.15%
268,269,040002,华安中国A股增强指数,0.7740,07-25,11.30%,14.17%,17.88%,39.72%,0,0.15%
